"id";"prefecture_name";"inserted_at";"updated_at"
1;"北海道";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
2;"青森";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
3;"岩手";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
4;"宮城";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
5;"秋田";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
6;"山形";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
7;"福島";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
8;"茨城";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
9;"栃木";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
10;"群馬";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
11;"埼玉";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
12;"千葉";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
13;"東京";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
14;"神奈川";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
15;"新潟";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
16;"富山";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
17;"石川";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
18;"福井";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
19;"山梨";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
20;"長野";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
21;"岐阜";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
22;"静岡";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
23;"愛知";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
24;"三重";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
25;"滋賀";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
26;"京都";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
27;"大阪";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
28;"兵庫";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
29;"奈良";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
30;"和歌山";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
31;"鳥取";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
32;"島根";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
33;"岡山";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
34;"広島";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
35;"山口";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
36;"徳島";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
37;"香川";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
38;"愛媛";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
39;"高知";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
40;"福岡";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
41;"佐賀";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
42;"長崎";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
43;"熊本";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
44;"大分";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
45;"宮崎";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
46;"鹿児島";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
47;"沖縄";"2013-06-16 08:56:15";"2013-06-16 08:56:15"
